timestamp,Game,Commence Time,Market,Sportsbook,Sportsbook Line,Odds,Recommended Pick,Confidence,Edge
2026-03-31T18:34:25.668810+00:00,Phoenix Suns at Orlando Magic,2026-03-31T23:10:00Z,moneyline,FanDuel,Phoenix Suns 100 vs Orlando Magic -118,Phoenix Suns 100 vs Orlando Magic -118,Orlando Magic,50,0
2026-03-31T18:34:25.668810+00:00,Charlotte Hornets at Brooklyn Nets,2026-03-31T23:40:00Z,moneyline,FanDuel,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets,50,0
2026-03-31T18:34:25.668810+00:00,Dallas Mavericks at Milwaukee Bucks,2026-04-01T00:10:00Z,moneyline,FanDuel,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks,50,0
2026-03-31T18:34:25.668810+00:00,Toronto Raptors at Detroit Pistons,2026-04-01T00:10:00Z,moneyline,FanDuel,Toronto Raptors 134 vs Detroit Pistons -158,Toronto Raptors 134 vs Detroit Pistons -158,Detroit Pistons,50,0
2026-03-31T18:34:25.668810+00:00,New York Knicks at Houston Rockets,2026-04-01T00:10:00Z,moneyline,FanDuel,New York Knicks -110 vs Houston Rockets -106,New York Knicks -110 vs Houston Rockets -106,New York Knicks,50,0
2026-03-31T18:34:25.668810+00:00,Cleveland Cavaliers at Los Angeles Lakers,2026-04-01T02:40:00Z,moneyline,FanDuel,Cleveland Cavaliers 114 vs Los Angeles Lakers -134,Cleveland Cavaliers 114 vs Los Angeles Lakers -134,Los Angeles Lakers,50,0
2026-03-31T18:34:25.668810+00:00,Portland Trail Blazers at Los Angeles Clippers,2026-04-01T03:10:00Z,moneyline,FanDuel,Portland Trail Blazers 188 vs Los Angeles Clippers -225,Portland Trail Blazers 188 vs Los Angeles Clippers -225,Los Angeles Clippers,50,0
2026-03-31T18:35:27.161953+00:00,Phoenix Suns at Orlando Magic,2026-03-31T23:10:00Z,moneyline,FanDuel,Phoenix Suns 100 vs Orlando Magic -118,Phoenix Suns 100 vs Orlando Magic -118,Orlando Magic,50,0
2026-03-31T18:35:27.161953+00:00,Charlotte Hornets at Brooklyn Nets,2026-03-31T23:40:00Z,moneyline,FanDuel,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets,50,0
2026-03-31T18:35:27.161953+00:00,Dallas Mavericks at Milwaukee Bucks,2026-04-01T00:10:00Z,moneyline,FanDuel,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks,50,0
2026-03-31T18:35:27.161953+00:00,Toronto Raptors at Detroit Pistons,2026-04-01T00:10:00Z,moneyline,FanDuel,Toronto Raptors 134 vs Detroit Pistons -158,Toronto Raptors 134 vs Detroit Pistons -158,Detroit Pistons,50,0
2026-03-31T18:35:27.161953+00:00,New York Knicks at Houston Rockets,2026-04-01T00:10:00Z,moneyline,FanDuel,New York Knicks -110 vs Houston Rockets -106,New York Knicks -110 vs Houston Rockets -106,New York Knicks,50,0
2026-03-31T18:35:27.161953+00:00,Cleveland Cavaliers at Los Angeles Lakers,2026-04-01T02:40:00Z,moneyline,FanDuel,Cleveland Cavaliers 114 vs Los Angeles Lakers -134,Cleveland Cavaliers 114 vs Los Angeles Lakers -134,Los Angeles Lakers,50,0
2026-03-31T18:35:27.161953+00:00,Portland Trail Blazers at Los Angeles Clippers,2026-04-01T03:10:00Z,moneyline,FanDuel,Portland Trail Blazers 188 vs Los Angeles Clippers -225,Portland Trail Blazers 188 vs Los Angeles Clippers -225,Los Angeles Clippers,50,0
2026-03-31T18:36:24.847206+00:00,Phoenix Suns at Orlando Magic,2026-03-31T23:10:00Z,moneyline,FanDuel,Phoenix Suns 104 vs Orlando Magic -122,Phoenix Suns 104 vs Orlando Magic -122,Orlando Magic,50,0
2026-03-31T18:36:24.847206+00:00,Charlotte Hornets at Brooklyn Nets,2026-03-31T23:40:00Z,moneyline,FanDuel,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets,50,0
2026-03-31T18:36:24.847206+00:00,Dallas Mavericks at Milwaukee Bucks,2026-04-01T00:10:00Z,moneyline,FanDuel,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks,50,0
2026-03-31T18:36:24.847206+00:00,Toronto Raptors at Detroit Pistons,2026-04-01T00:10:00Z,moneyline,FanDuel,Toronto Raptors 134 vs Detroit Pistons -158,Toronto Raptors 134 vs Detroit Pistons -158,Detroit Pistons,50,0
2026-03-31T18:36:24.847206+00:00,New York Knicks at Houston Rockets,2026-04-01T00:10:00Z,moneyline,FanDuel,New York Knicks -110 vs Houston Rockets -106,New York Knicks -110 vs Houston Rockets -106,New York Knicks,50,0
2026-03-31T18:36:24.847206+00:00,Cleveland Cavaliers at Los Angeles Lakers,2026-04-01T02:40:00Z,moneyline,FanDuel,Cleveland Cavaliers 114 vs Los Angeles Lakers -134,Cleveland Cavaliers 114 vs Los Angeles Lakers -134,Los Angeles Lakers,50,0
2026-03-31T18:36:24.847206+00:00,Portland Trail Blazers at Los Angeles Clippers,2026-04-01T03:10:00Z,moneyline,FanDuel,Portland Trail Blazers 188 vs Los Angeles Clippers -225,Portland Trail Blazers 188 vs Los Angeles Clippers -225,Los Angeles Clippers,50,0
2026-03-31T18:36:27.918937+00:00,Phoenix Suns at Orlando Magic,2026-03-31T23:10:00Z,moneyline,FanDuel,Phoenix Suns 104 vs Orlando Magic -122,Phoenix Suns 104 vs Orlando Magic -122,Orlando Magic,50,0
2026-03-31T18:36:27.918937+00:00,Charlotte Hornets at Brooklyn Nets,2026-03-31T23:40:00Z,moneyline,FanDuel,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets -2200 vs Brooklyn Nets 1100,Charlotte Hornets,50,0
2026-03-31T18:36:27.918937+00:00,Dallas Mavericks at Milwaukee Bucks,2026-04-01T00:10:00Z,moneyline,FanDuel,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks -130 vs Milwaukee Bucks 110,Dallas Mavericks,50,0
2026-03-31T18:36:27.918937+00:00,Toronto Raptors at Detroit Pistons,2026-04-01T00:10:00Z,moneyline,FanDuel,Toronto Raptors 134 vs Detroit Pistons -158,Toronto Raptors 134 vs Detroit Pistons -158,Detroit Pistons,50,0
